name,tokenID,holders,date,tokenSniffer
UP (UP),0xb4e8d978bff48c2d8fa241c0f323f71c1457ca81,2051,2021-11-01,https://tokensniffer.com/token/0xb4e8d978bff48c2d8fa241c0f323f71c1457ca81
Cake-LP,0x74e4716e431f45807dcf19f284c7aa99f18a4fbc,2299,2021-11-01,https://tokensniffer.com/token/0x74e4716e431f45807dcf19f284c7aa99f18a4fbc
HAM_Dividend_Tracker,0x5313d889e8ed53e0e734361b0f0aa737dd4df650,3706,2021-11-01,https://tokensniffer.com/token/0x5313d889e8ed53e0e734361b0f0aa737dd4df650
Ridotto (RDT),0xe9c64384deb0c2bf06d991a8d708c77eb545e3d5,1026,2021-11-01,https://tokensniffer.com/token/0xe9c64384deb0c2bf06d991a8d708c77eb545e3d5
HYVE (HYVE),0xf6565a97dc832d93dc83b75ee9aa5c7e8ecb0f9d,1017,2021-11-01,https://tokensniffer.com/token/0xf6565a97dc832d93dc83b75ee9aa5c7e8ecb0f9d
MINISAFEMOONINUV2,0x22eaaabcec2f8f6cf5451138c09df10bdef57a54,1646,2021-11-01,https://tokensniffer.com/token/0x22eaaabcec2f8f6cf5451138c09df10bdef57a54
Freedom Gold (FRG),0x525e6f5ea64b6750c18b97ce535177f680f15211,1809,2021-11-01,https://tokensniffer.com/token/0x525e6f5ea64b6750c18b97ce535177f680f15211
PontoonToken (TOON),0xaee433adebe0fbb88daa47ef0c1a513caa52ef02,1027,2021-11-01,https://tokensniffer.com/token/0xaee433adebe0fbb88daa47ef0c1a513caa52ef02
SOLANA (SOL),0x570a5d26f7765ecb712c0924e4de545b89fd43df,3665,2021-11-01,https://tokensniffer.com/token/0x570a5d26f7765ecb712c0924e4de545b89fd43df
DareNFT (DNFT),0x88025caf4cfa68b5bfdebad52a748e2e339bb32c,4584,2021-11-01,https://tokensniffer.com/token/0x88025caf4cfa68b5bfdebad52a748e2e339bb32c
Shibanomi (SHIO),0x0c251e67d41efc33a9d3264a5492f63f743ca87c,2031,2021-11-01,https://tokensniffer.com/token/0x0c251e67d41efc33a9d3264a5492f63f743ca87c
Good Games Guild,0xe0e52c4ada64f166ce1e986deb1ea554dfa743d9,848,2021-11-01,https://tokensniffer.com/token/0xe0e52c4ada64f166ce1e986deb1ea554dfa743d9
enaira (ENAIRA),0xd29009666f2b620f290e8dfab7ff64ca7834dea8,652,2021-11-01,https://tokensniffer.com/token/0xd29009666f2b620f290e8dfab7ff64ca7834dea8
Baby Tiger King,0xb539242985ac83737aadee909f486d46178587c4,1809,2021-11-01,https://tokensniffer.com/token/0xb539242985ac83737aadee909f486d46178587c4
ScooBNBDoo_Dividend_Tracker,0xa2a42df06dec8c090c2b1df523a569980d13f82b,361,2021-11-01,https://tokensniffer.com/token/0xa2a42df06dec8c090c2b1df523a569980d13f82b
Predator Game,0xa1e34c4d25de38f0491f8b7b279c254f45e7d8e3,4335,2021-11-01,https://tokensniffer.com/token/0xa1e34c4d25de38f0491f8b7b279c254f45e7d8e3
BonusFloki,0x8a0ba7b72ea404c995818ba5d6f0229e359e873c,3427,2021-11-01,https://tokensniffer.com/token/0x8a0ba7b72ea404c995818ba5d6f0229e359e873c
MoonstaRevenge Token,0xc0dc059e59b48016bca8c8f57a3b40fd08b3bd77,2058,2021-11-01,https://tokensniffer.com/token/0xc0dc059e59b48016bca8c8f57a3b40fd08b3bd77
ShillToken_Dividend_Tracker,0x61db65023e94995a08c1dd01fea7ec3b4540c275,783,2021-11-01,https://tokensniffer.com/token/0x61db65023e94995a08c1dd01fea7ec3b4540c275
